scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc
allplus,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),1,144,361,1,0.7278902798232696,0.4615365733922435
allplus,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),2,144,404,1,0.7012099184996381,0.4495736177979168
allplus,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),3,144,443,1,0.7361149261110806,0.5424243256606054
allplus,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),4,144,425,1,0.7076776333665429,0.5356851734444343
allplus,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),5,144,502,1,0.704997947454844,0.4738813628899836
allplus,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),6,144,500,1,0.7263465627214741,0.5092841956059532
allplus,Nielsen,per-maze,"State bigrams, K=12",Random forest,pooled,144,2635,6,0.7488894992591052,0.5043607722303421
allplus,Nielsen,per-maze,"State bigrams, K=12",Random forest,1,144,361,1,0.7654025527736867,0.5094747177221404
allplus,Nielsen,per-maze,"State bigrams, K=12",Random forest,2,144,404,1,0.7333419868466597,0.438748859309607
allplus,Nielsen,per-maze,"State bigrams, K=12",Random forest,3,144,443,1,0.7610215349118277,0.5400620776795034
allplus,Nielsen,per-maze,"State bigrams, K=12",Random forest,4,144,425,1,0.7246060139480119,0.545217824472421
allplus,Nielsen,per-maze,"State bigrams, K=12",Random forest,5,144,502,1,0.7465555726600985,0.47323994252873564
allplus,Nielsen,per-maze,"State bigrams, K=12",Random forest,6,144,500,1,0.7617647058823529,0.5185683912119065
allplus,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),pooled,25,2635,6,0.6044756800715967,0.5120477446114904
allplus,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),1,25,361,1,0.644115120274914,0.5407461953853706
allplus,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),2,25,404,1,0.6121337990496869,0.5159539318417823
allplus,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),3,25,443,1,0.5908984782728122,0.505576003955392
allplus,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),4,25,425,1,0.6189373698034598,0.5827370709174894
allplus,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),5,25,502,1,0.5865853345648604,0.47944889162561577
allplus,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),6,25,500,1,0.5873671155209071,0.46654854712969523
allplus,Nielsen,per-maze,"Gaze heatmap, 5x5",Random forest,pooled,25,2635,6,0.8661260734390589,0.5152058867426381
