scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
publication,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),pooled,36,608,4,0.7028959798216348,0.5336336777409563,0.03944772770119667,0.13162178077824654
publication,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),1,36,127,1,0.7075050968399592,0.5338939857288482,0.03889928158720302,0.07747115047027663
publication,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),2,36,155,1,0.6589519976147884,0.37865235539654146,0.013782934344525065,0.06726711841791523
publication,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),3,36,159,1,0.7419064748201438,0.5946043165467626,0.026024565736667418,0.14534728959666393
publication,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),4,36,167,1,0.7030354449472096,0.6192307692307693,0.02543419210396735,0.08122456128756825
publication,Nielsen,per-maze,"State bigrams, K=6",Random forest,pooled,36,608,4,0.7280696823364599,0.5475945035843995,0.033760625133201244,0.1174142336692992
publication,Nielsen,per-maze,"State bigrams, K=6",Random forest,1,36,127,1,0.7457313965341488,0.5109582059123343,0.02911936936686536,0.07426502028887844
publication,Nielsen,per-maze,"State bigrams, K=6",Random forest,2,36,155,1,0.7358750745378653,0.45289206917113894,0.024973407229387668,0.059943705785076934
publication,Nielsen,per-maze,"State bigrams, K=6",Random forest,3,36,159,1,0.7210431654676259,0.5843525179856115,0.05162181134697339,0.16487725150087942
publication,Nielsen,per-maze,"State bigrams, K=6",Random forest,4,36,167,1,0.7140837104072397,0.6283559577677225,0.023832409203634806,0.08283755432179565
publication,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),pooled,144,608,4,0.8462015175896989,0.5398147282833813,0.049983831924833785,0.1338629238301071
publication,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),1,144,127,1,0.9081931702344547,0.5611620795107034,0.014654638325130706,0.12312241221503045
publication,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),2,144,155,1,0.8298673225998807,0.44081693500298147,0.023487361430313845,0.127591480118449
publication,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),3,144,159,1,0.8741456834532375,0.6739208633093525,0.02302176389620349,0.12266815937423628
publication,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),4,144,167,1,0.7876131221719457,0.4877828054298643,0.016342483877481846,0.04093157673676537
publication,Nielsen,per-maze,"State bigrams, K=12",Random forest,pooled,144,608,4,0.7902088976771939,0.5657744994959805,0.06438731623457147,0.09414087365675708
publication,Nielsen,per-maze,"State bigrams, K=12",Random forest,1,144,127,1,0.8735346585117227,0.5700815494393476,0.023279008511804356,0.06652499775685346
publication,Nielsen,per-maze,"State bigrams, K=12",Random forest,2,144,155,1,0.7304710793082886,0.49552772808586765,0.0364725718641235,0.04554080035574057
publication,Nielsen,per-maze,"State bigrams, K=12",Random forest,3,144,159,1,0.8245953237410072,0.5994604316546763,0.026986067985136683,0.15688313049678962
publication,Nielsen,per-maze,"State bigrams, K=12",Random forest,4,144,167,1,0.7495475113122172,0.5956259426847662,0.025111449633046967,0.053603963070852724
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),pooled,25,608,4,0.7310245088996222,0.5947918083559776,0.047106817701583946,0.09506653661458389
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),1,25,127,1,0.7942150866462793,0.626401630988787,0.026568012743250973,0.1453572391485296
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),2,25,155,1,0.7229427549194991,0.560226595110316,0.024759888853059072,0.10013409812265553
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),3,25,159,1,0.7218075539568345,0.6377697841726618,0.04906649550417311,0.05564720646197473
